date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:03	52698/52698	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2015:25:31%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail57550.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail575500982.jpg	(from https://www.4505burgersandbbq.com/press/)
11:33:04	34094/34094	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:04%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail82770.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail827700982.jpg	(from https://www.4505burgersandbbq.com/press/)
11:33:04	62151/62151	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:04%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/15738Screenshot_2019-03-25_17.56.12.png?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/15738Screenshot_2019-03-25_17.56.120982.jpg	(from https://www.4505burgersandbbq.com/press/)
11:33:05	28145/28145	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:05%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail53797.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail537970982.jpg	(from https://www.4505burgersandbbq.com/press/)
11:33:06	48095/48095	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%205:49:06%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail63792.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail637920982.jpg	(from https://www.4505burgersandbbq.com/press/)
11:33:09	48737/48737	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:06%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/80434505_pulled_pork4.jpg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/80434505_pulled_pork40982.jpg	(from https://www.4505burgersandbbq.com/press/)
11:33:09	47188/47188	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:33:08%20GMT	https://www.4505burgersandbbq.com/press/?p=2	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/press/index905b.html	(from https://www.4505burgersandbbq.com/press/)
11:33:18	2487786/2487786	---M--	200	added ('OK')	image/jpeg	etag:%224e89810226ba004837d595d273385d69%22	https://media-cdn.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/pxcoE4rZQpCYmLCZXXro_4505_macarthur49.jpg	D:/MagicRestaurante/MagicRestaurante/media-cdn.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/pxcoE4rZQpCYmLCZXXro_4505_macarthur49.jpg	(from https://www.4505burgersandbbq.com/press/)
11:33:18	152308/152308	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:10%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/13N8zRRq6vfXlfmXPCfA_IMG_1302.jpg?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/13N8zRRq6vfXlfmXPCfA_IMG_130211d2.jpg	(from https://www.4505burgersandbbq.com/feed-the-pig/)
11:33:18	1386/1386	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jun%202019%201:46:39%20GMT	https://getbento.imgix.net/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/buendia_signature_logo.png?w=1000&fit=max&auto=compress,format&h=1000	D:/MagicRestaurante/MagicRestaurante/getbento.imgix.net/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/buendia_signature_logo7c0c.png	(from https://www.4505burgersandbbq.com/feed-the-pig/)
11:33:24	199728/199728	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Jun%202019%2015:18:29%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/jk5kOMLhSASp4PZnDZAJ_IMG_0665.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/jk5kOMLhSASp4PZnDZAJ_IMG_06658417.jpg	(from https://www.4505burgersandbbq.com/delivery/)
11:33:24	88098/88098	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:19%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/jk5kOMLhSASp4PZnDZAJ_IMG_0665.jpg?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/jk5kOMLhSASp4PZnDZAJ_IMG_066511d2.jpg	(from https://www.4505burgersandbbq.com/delivery/)
11:33:25	965492/965492	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:11%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/13N8zRRq6vfXlfmXPCfA_IMG_1302.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/13N8zRRq6vfXlfmXPCfA_IMG_13028417.jpg	(from https://www.4505burgersandbbq.com/feed-the-pig/)
11:33:25	129750/129750	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Jun%202019%208:47:28%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/GQuzazZNSYqm6NCq50g7_4505_bbq_catering28.jpg?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/GQuzazZNSYqm6NCq50g7_4505_bbq_catering2811d2.jpg	(from https://www.4505burgersandbbq.com/catering/)
11:33:26	100078/100078	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:26%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/7TLYnJQUCfdynNve09QF_IMG_0657.jpg?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/7TLYnJQUCfdynNve09QF_IMG_065711d2.jpg	(from https://www.4505burgersandbbq.com/news/)
11:33:27	23525/23525	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Jun%202019%205:20:16%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/95815Ghost_Town_Brewing.png?w=1800&fit=max&auto=compress,format&h=1800	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/95815Ghost_Town_Brewingb729.jpg	(from https://www.4505burgersandbbq.com/news/)
11:33:31	306747/306747	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:25%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/GQuzazZNSYqm6NCq50g7_4505_bbq_catering28.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/GQuzazZNSYqm6NCq50g7_4505_bbq_catering288417.jpg	(from https://www.4505burgersandbbq.com/catering/)
11:33:31	219852/219852	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:27%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/7TLYnJQUCfdynNve09QF_IMG_0657.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/7TLYnJQUCfdynNve09QF_IMG_06578417.jpg	(from https://www.4505burgersandbbq.com/news/)
11:33:31	25192/25192	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:33:29%20GMT	https://www.4505burgersandbbq.com/event/519-bbq-sundays-at-ghost-town-brewing-copy-copy/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/event/519-bbq-sundays-at-ghost-town-brewing-copy-copy/index.html	(from https://www.4505burgersandbbq.com/news/)
11:33:32	125521/125521	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:32%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/wLKq05dZR0WcOCkJkA1h_Office%201%20-%20jobs.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/wLKq05dZR0WcOCkJkA1h_Office%201%20-%20jobs8417.jpg	(from https://www.4505burgersandbbq.com/jobs/)
11:33:34	244224/244224	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:33:33%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/qBHRbUmbT2711wZJQRDR_Office%201%20-%20IMG_0967.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/mediausers/custom_fields_galleries/images/qBHRbUmbT2711wZJQRDR_Office%201%20-%20IMG_09678417.jpg	(from https://www.4505burgersandbbq.com/contact/)
11:34:03	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Mon,%2003%20Jun%202019%2016:34:03%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/68583IMG_6122.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/68583IMG_612211d2.JPG	(from https://www.4505burgersandbbq.com/team-member/allie-mcelwee/)
11:34:04	70975/70975	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:34:04%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/59371IMG_6142.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/59371IMG_614211d2.jpg	(from https://www.4505burgersandbbq.com/team-member/andrew-ghetia/)
11:34:04	77747/77747	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:34:05%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/62165IMG_6127.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/62165IMG_612711d2.jpg	(from https://www.4505burgersandbbq.com/team-member/donnie-goolesby/)
11:34:05	85352/85352	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:34:05%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/18586IMG_8847.jpg?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/18586IMG_884711d2.jpg	(from https://www.4505burgersandbbq.com/team-member/luby-rosochacova/)
11:34:05	85438/85438	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:34:06%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/27658IMG_6129.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/27658IMG_612911d2.jpg	(from https://www.4505burgersandbbq.com/team-member/maria-rojas/)
11:34:06	84753/84753	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:34:06%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/47310IMG_6146.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/47310IMG_614611d2.jpg	(from https://www.4505burgersandbbq.com/team-member/ryan-farr/)
11:34:06	77596/77596	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:34:07%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/28684cookies.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/28684cookies11d2.jpg	(from https://www.4505burgersandbbq.com/team-member/stephen-cookies-parton/)
11:34:07	74974/74974	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:34:07%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/52087IMG_6139.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/52087IMG_613911d2.jpg	(from https://www.4505burgersandbbq.com/team-member/tom-conyers/)
11:35:32	18540282/18540282	---M--	200	added ('OK')	image/jpeg	etag:%225b8ec90d-11ae6fa%22	https://www.sunset.com/wp-content/uploads/2-oktoberfest-dinner-recipe-60715-1018.jpg	D:/MagicRestaurante/MagicRestaurante/www.sunset.com/wp-content/uploads/2-oktoberfest-dinner-recipe-60715-1018.jpg	(from https://www.4505burgersandbbq.com/press/)
11:35:33	55858/55858	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:33%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/78577Screenshot_2019-03-25_18.09.57.png?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/78577Screenshot_2019-03-25_18.09.570982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:33	7925/7925	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:34%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/720692161621_300x300.jpg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/720692161621_300x3000982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:34	60432/60432	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:34%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail79444.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail794440982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:34	2291/2291	---MC-	200	added ('OK')	image/png	date:Mon,%2003%20Jun%202019%2016:35:35%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail49414.png?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail494140982.png	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:34	31141/31141	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:35%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/3102bbqresized.jpg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/3102bbqresized0982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:35	39983/39983	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:35%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/1870Burger_Infatuation.jpg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/1870Burger_Infatuation0982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:35	58577/58577	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:36%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail9988.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail99880982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:36	65559/65559	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:36%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail33807.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail338070982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:36	51997/51997	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:37%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/49451Screenshot_2019-03-25_18.07.20.png?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/49451Screenshot_2019-03-25_18.07.200982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:37	29477/29477	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:37%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail56308.jpeg?w=600&fit=max&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/press_thumbnail563080982.jpg	(from https://www.4505burgersandbbq.com/press/?p=2)
11:35:40	22028/22028	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:38%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/95815Ghost_Town_Brewing.png?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/95815Ghost_Town_Brewing11d2.jpg	(from https://www.4505burgersandbbq.com/event/519-bbq-sundays-at-ghost-town-brewing-copy-copy/)
11:35:40	91495/91495	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2016:35:38%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/68583IMG_6122.JPG?w=1200&fit=crop&auto=compress,format&h=600	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/68583IMG_612211d2.JPG	(from https://www.4505burgersandbbq.com/team-member/allie-mcelwee/)
